,Zip,City,State,Metro,CountyName,SizeRank,2018-04-01,1_Year,1_Gain,2_Year,2_Gain,3_Year,3_Gain,4_Year,4_Gain,5_Year,5_Gain,6_Year,6_Gain,7_Year,7_Gain,8_Year,8_Gain,9_Year,9_Gain,10_Year,10_Gain
156,1730,Bedford,MA,Boston,Middlesex,7230,705800.0,709730.7,0.01,727616.35,0.03,746757.28,0.06,765998.74,0.09,785248.28,0.11,804498.47,0.14,823748.72,0.17,842998.97,0.19,862249.21,0.22,881499.46,0.25
157,1740,Bolton,MA,Worcester,Worcester,11123,544600.0,566853.32,0.04,584476.67,0.07,600003.3,0.1,614674.12,0.13,628997.63,0.15,643180.23,0.18,657305.65,0.21,671407.87,0.23,685500.69,0.26,699589.69,0.28
158,1741,Carlisle,MA,Boston,Middlesex,11136,791600.0,789481.89,-0.0,804148.16,0.02,821402.52,0.04,839040.38,0.06,856735.07,0.08,874438.17,0.1,892142.52,0.13,909847.05,0.15,927551.61,0.17,945256.18,0.19
159,1742,Concord,MA,Boston,Middlesex,6090,963500.0,994640.52,0.03,1023697.06,0.06,1051266.9,0.09,1078498.78,0.12,1105645.54,0.15,1132771.12,0.18,1159891.43,0.2,1187010.42,0.23,1214129.08,0.26,1241247.66,0.29
160,1746,Holliston,MA,Boston,Middlesex,7372,450800.0,462278.0,0.03,473761.89,0.05,485377.8,0.08,497030.3,0.1,508692.75,0.13,520357.89,0.15,532023.76,0.18,543689.82,0.21,555355.94,0.23,567022.07,0.26
161,1747,Hopedale,MA,Worcester,Worcester,10295,373700.0,380678.29,0.02,389023.12,0.04,398076.34,0.07,407453.04,0.09,416977.64,0.12,426569.87,0.14,436193.02,0.17,445830.3,0.19,455474.05,0.22,465120.75,0.24
162,1748,Hopkinton,MA,Boston,Middlesex,6826,625600.0,655596.24,0.05,675540.35,0.08,693380.72,0.11,710803.89,0.14,728144.41,0.16,745468.56,0.19,762789.47,0.22,780109.74,0.25,797429.88,0.27,814750.0,0.3
163,1749,Hudson,MA,Boston,Middlesex,5407,380500.0,382660.69,0.01,389783.57,0.02,398766.94,0.05,408334.57,0.07,418085.44,0.1,427893.78,0.12,437720.13,0.15,447552.12,0.18,457385.9,0.2,467220.22,0.23
164,1752,Marlborough,MA,Boston,Middlesex,1263,367500.0,375442.61,0.02,384362.58,0.05,393604.85,0.07,402957.87,0.1,412348.97,0.12,421753.16,0.15,431161.86,0.17,440572.11,0.2,449982.89,0.22,459393.85,0.25
165,1754,Maynard,MA,Boston,Middlesex,8007,394800.0,402205.31,0.02,411842.77,0.04,422239.08,0.07,432870.58,0.1,443574.91,0.12,454301.8,0.15,465035.67,0.18,475771.7,0.21,486508.41,0.23,497245.32,0.26
166,1756,Mendon,MA,Worcester,Worcester,10570,427100.0,443978.73,0.04,457740.69,0.07,470178.75,0.1,482160.05,0.13,493983.95,0.16,505753.61,0.18,517504.59,0.21,529249.12,0.24,540991.43,0.27,552732.97,0.29
167,1757,Milford,MA,Worcester,Worcester,3604,348000.0,362176.2,0.04,374216.41,0.08,385165.59,0.11,395576.94,0.14,405722.98,0.17,415738.14,0.19,425688.74,0.22,435607.49,0.25,445510.53,0.28,455405.82,0.31
168,1760,Natick,MA,Boston,Middlesex,2017,602200.0,618188.62,0.03,635780.97,0.06,653616.44,0.09,671487.24,0.12,689363.21,0.14,707239.94,0.17,725116.78,0.2,742993.64,0.23,760870.5,0.26,778747.37,0.29
169,1770,Sherborn,MA,Boston,Middlesex,11833,804400.0,797781.18,-0.01,811323.7,0.01,827684.12,0.03,844439.37,0.05,861250.02,0.07,878068.44,0.09,894887.95,0.11,911707.62,0.13,928527.31,0.15,945347.0,0.18
170,1772,Southborough,MA,Worcester,Worcester,9018,661900.0,662216.26,0.0,673820.31,0.02,688850.31,0.04,704914.94,0.06,721292.15,0.09,737763.79,0.11,754263.96,0.14,770772.75,0.16,787284.14,0.19,803796.32,0.21
171,1773,Lincoln,MA,Boston,Middlesex,10095,1141600.0,1176209.98,0.03,1206179.22,0.06,1234061.97,0.08,1261370.05,0.1,1288518.12,0.13,1315621.66,0.15,1342712.8,0.18,1369800.5,0.2,1396887.23,0.22,1423973.7,0.25
172,1775,Stow,MA,Boston,Middlesex,9848,512400.0,532932.43,0.04,548656.39,0.07,562667.13,0.1,576140.7,0.12,589447.77,0.15,602703.17,0.18,615942.53,0.2,629176.92,0.23,642409.77,0.25,655642.14,0.28
173,1776,Sudbury,MA,Boston,Middlesex,6775,733300.0,741517.08,0.01,757231.71,0.03,774022.47,0.06,790969.82,0.08,807940.05,0.1,824913.63,0.12,841887.69,0.15,858861.83,0.17,875835.98,0.19,892810.13,0.22
174,1778,Wayland,MA,Boston,Middlesex,7458,741300.0,754295.24,0.02,773167.12,0.04,793086.69,0.07,813185.92,0.1,833315.93,0.12,853451.22,0.15,873587.4,0.18,893723.74,0.21,913860.11,0.23,933996.48,0.26
175,1801,Woburn,MA,Boston,Middlesex,1381,494200.0,518579.78,0.05,537968.74,0.09,554855.87,0.12,570749.67,0.15,586247.82,0.19,601588.37,0.22,616866.15,0.25,632118.93,0.28,647361.74,0.31,662600.6,0.34
176,1803,Burlington,MA,Boston,Middlesex,4403,554100.0,576312.98,0.04,595184.53,0.07,612619.84,0.11,629525.57,0.14,646235.17,0.17,662872.12,0.2,679482.17,0.23,696082.27,0.26,712678.67,0.29,729273.71,0.32
177,1810,Andover,MA,Boston,Essex,2670,660400.0,667796.59,0.01,682018.2,0.03,698613.73,0.06,715971.3,0.08,733576.01,0.11,751260.95,0.14,768971.91,0.16,786691.32,0.19,804413.48,0.22,822136.52,0.24
178,1821,Billerica,MA,Boston,Middlesex,3769,436300.0,442080.36,0.01,451729.49,0.04,462777.3,0.06,474384.09,0.09,486214.3,0.11,498133.8,0.14,510088.99,0.17,522058.45,0.2,534033.6,0.22,546011.03,0.25
179,1824,Chelmsford,MA,Boston,Middlesex,4383,446800.0,454775.41,0.02,465257.43,0.04,476601.71,0.07,488276.08,0.09,500076.54,0.12,511925.17,0.15,523792.2,0.17,535666.26,0.2,547543.01,0.23,559420.78,0.25
180,1826,Dracut,MA,Boston,Middlesex,3275,352300.0,355425.65,0.01,361724.61,0.03,369462.95,0.05,377895.44,0.07,386662.74,0.1,395591.54,0.12,404598.23,0.15,413642.48,0.17,422704.86,0.2,431775.99,0.23
181,1827,Dunstable,MA,Boston,Middlesex,12828,480500.0,487005.91,0.01,499273.77,0.04,512111.96,0.07,525010.77,0.09,537916.02,0.12,550821.95,0.15,563727.95,0.17,576633.95,0.2,589539.96,0.23,602445.97,0.25
